GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
gid://shopify/Product/8645497651399,1500,750,800,116,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064242887,1500,750,800,116,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064373959,1800,750,800,109,220,50,613,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472157895,1800,750,800,109,220,50,613,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064472263,1800,750,800,109,220,50,613,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064505031,900,750,800,72,220,50,366,2.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645503058119,900,750,800,72,220,50,366,2.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064537799,900,750,800,72,220,50,366,2.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645537235143,900,750,800,84,220,50,366,3,,,,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645537202375,1200,750,800,97,220,50,314,2.5,1,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497684167,1200,750,800,106,220,50,314,2.5,,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064570567,1200,750,800,84,220,50,314,2.5,2,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472125127,1200,750,800,84,220,50,314,2.5,2,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064636103,1200,750,800,84,220,50,314,2.5,2,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645537169607,1200,750,800,97,220,50,314,2.5,1,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645882478791,1200,750,800,106,220,50,314,2.5,,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497716935,1200,750,800,106,220,50,314,2.5,,311,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497749703,1500,750,800,116,220,50,314,2.5,,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472092359,1500,600,800,93,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064668871,1500,750,800,93,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472059591,1500,750,800,93,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064734407,1500,750,800,93,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064767175,1500,750,800,107,220,50,314,2.5,1,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497848007,1500,700,800,107,220,50,314,2.5,1,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497815239,1500,750,800,107,220,50,314,2.5,1,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064832711,1500,750,800,116,220,50,314,2.5,,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497782471,1500,750,800,116,220,50,314,2.5,,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065160391,1800,750,800,126,220,50,366,3,2,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065094855,1800,750,800,126,220,50,366,3,2,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
